Name;Address;Zip;City;Phone;Fax;E-Mail;URL
FHK Bau GmbH;Große Wiese 16a,;63776;Mömbris-Gunzenbach;06029 69 55;;hock.harald@t-online.de;http://www.fhkbau.de
Geis Hoch- u. Tiefbau GmbH;Wenighösbacher Str. 42,;63768;Hösbach;06021 44 88 10;;info@hoch-tiefbau-geis.com;https://www.hoch-tiefbau-geis.com
Architekt Horst Ehlers  (baugewerblich);Rudolf-Hilferding-Str. 74,;60439;Frankfurt am Main-Niederursel;069 65 00 86 91;;mail@architekt-horst-ehlers.de;http://www.architekt-horst-ehlers.de
M.D. Bau GmbH;Leipziger Str. 28,;63571;Gelnhausen-Roth;06051 7 89 39 51;;info@mdbau-gmbh.de;http://www.mdbau-gmbh.de
Schuhmacher Hans Peter GmbH;Großlaudenbacher Str. 50,;63828;Kleinkahl-Großlaudenbach;06024 16 26;;info@hpschuhmacher.de;http://www.hpschuhmacher.de
NEUSER Ingenieure Beratende Ingenieure Hoch- und Brückenbau PartG mbB;Albert-Einstein-Str. 34,;63322;Rödermark-Ober-Roden;06074 48 40 10;;mail@neuser-ing.de;http://www.neuser-ing.de
Betomix Transportbeton;Schweinheimer Str. 96,;63743;Aschaffenburg-Schweinheim;06021 9 63 24;;info@betomix-bma.de;https://www.betomix-bma.de
FF Bau e.K. Franz Faust Bauunternehmen;Womburgstr. 42,;63776;Mömbris-Strötzbach;06029 14 62;;ffbau@aol.com;http://www.ffbau.de
Blank Bauunternehmung GmbH;Prinz-Ludwig-Str. 4,;97264;Helmstadt;09369 16 66;;info@bauunternehmung-blank.de;https://www.bauunternehmung-blank.de/
Werner & Sohn Hoch- und Tiefbau GmbH;Klostergartenstr. 11,;63110;Rodgau;06106 36 14;;info@Werner-Sohn.de;http://www.werner-sohn.de
Härth&Partner PartGmbB Beratende Ingenieure;Bodelschwinghstr. 70,;97753;Karlstadt;09353 9 93 93;;info@ing-haerth.de;http://www.ing-haerth.de
Schwinn-Gross GmbH Bauunternehmung;Werkstr. 17,;64732;Bad König;06063 6 30;;info@schwinn-gross.de;http://www.schwinn-gross.de
Baugesellschaft Turnus mbH;Liebfrauenstr. 13,;64839;Münster Hessen;06071 3 53 82;;info@turnusbau.de;http://www.turnusbau.de
Bauunternehmen Harald Schebler;Neubaustr. 12,;97834;Birkenfeld;09398 99 34 82;;info@schebler-bau.de;http://www.schebler-bau.de
WeberBau GmbH;Robert-Bosch-Str. 22,;63584;Gründau-Lieblos;06051 1 75 38;;info@weberbau-gmbh.de;http://www.weberbau-gmbh.de
Grossmann Baugesellschaft mbH;Aschaffenburger Str. 35,;64832;Babenhausen;06073 71 59 70;;info@grossmann-baugesellschaft.de;http://www.grossmann-baugesellschaft.de
HF Baugeschäft GmbH;Pfungstädter Str. 35,;64297;Darmstadt-Eberstadt;06151 8 60 28 98;;mail@hf-baugeschaeft.de;http://www.hf-baugeschaeft.de
XXL-bauteam GmbH;Alt-Hausen 34,;60488;Frankfurt am Main-Hausen;069 25 78 04 90;;mail@xxl-bauteam.de;http://www.xxl-bauteam.de
Daniel Rachor Bau GmbH;Jahnstr. 5,;63533;Mainhausen;01523 3 82 74 55;;kontakt@rachor-bau.de;http://www.rachor-bau.de
Prause Roland;Goethestr. 13,;63538;Großkrotzenburg;06186 91 32 49;;info@prause-sachverstand.de;http://www.prause-sachverstand.de
Lindt GmbH;Schulstr. 16,;64850;Schaafheim-Schlierbach;06073 8 77 61;;;
Trapp Arnold;Mainstr. 29,;63538;Großkrotzenburg;06186 72 37;;;
Bautech Tomasz Gatarski;Nieder Kirchweg 1,;65934;Frankfurt am Main-Nied;069 38 77 76 26;;info@bautech.info;http://www.bautech.info
Sprey Bauunternehmen GmbH;Dieselstr. 10,;63500;Seligenstadt;06182 2 85 63;;kontakt@sprey.de;http://www.sprey.de
F. W. Müller Hoch-, Tief- und Stahlbetonbau GmbH & Co KG;Merianstr. 31,;63069;Offenbach am Main;069 83 10 34;;info@fwmbau.de;http://www.fwmbau.de
Aumann GmbH;Darmstädter Str. 61,;64832;Babenhausen;06073 6 00 00;;info@AumannGmbH.de;http://www.aumanngmbh.de
Anton Schneider 5. GmbH;Ingelheimer Str. 1a,;60529;Frankfurt am Main-Schwanheim;069 93 52 60;;info@as5.de;http://www.as5.de
Hess Bauunternehmen GmbH;In der Aue 27,;64385;Reichelsheim (Odenwald);06164 5 47 47;;info@bau-hess.de;http://www.bau-hess.de
Ortmayer Erik Dipl.-Ing.;Am Kauterain 1,;63589;Linsengericht;06051 47 03 48;;;http://www.sachverstaendiger-ortmayer.de
Kalan-Bau GmbH;Kirchbergerstr. 27,;64823;Groß-Umstadt;06078 96 92 29;;info@kalan-bau.de;http://www.kalan-bau.de
Gotta Michael Dipl.-Ing. Architektur;Röntgenstr. 13A,;63322;Rödermark-Ober-Roden;06074 8 45 99 69;;dipl.ing_m.gotta@t-online.de;http://www.architekturbuero-gotta.de
Sehr Helmut;Hermann-Ehlers-Str. 6,;63456;Hanau;06181 6 31 37;;;
Kern Heinrich Straßen- und Tiefbau GmbH Straßen- u. Tiefbau;Altheimer Str. 6+14,;64807;Dieburg;06071 2 26 08;;info@kern-dieburg.de;http://www.kern-dieburg.de
Baugeschäft Ivan Zadro GmbH;Klöcknerstr. 4a,;63110;Rodgau;06106 7 93 61;;info@zadrobau.de;http://www.zadrobau.de
FAIRBAU GmbH;Paul-Ehrlich-Str. 1,;63322;Rödermark;06074 3 01 62 60;;info@fair-bau.com;https://www.fair-bau.com
Malfet Gerhard Dipl.-Ing.;Altheimer Str. 2,;64807;Dieburg;06071 2 49 70;;malfet-architekturbuero@t-online.de;http://www.malfet-architekturbuero.com
Meyer-Haake Dipl.-Ing. FH;Hainstr. 18,;63517;Rodenbach;06184 9 09 99 74;;;
M+H Baugesellschaft mbH;Odenwaldstr. 77,;64750;Lützelbach;09372 9 48 74 00;;Buero@M-H-Bau.de;http://m-h-bau.de
Prestige Bau GmbH;Bruchköbeler Landstr. 71,;63452;Hanau;06181 9 97 55 30;;info@prestige-bau.de;http://www.prestige-bau.com
Winfried Kratz GmbH & Co. KG;Robert-Koch-Str. 7,;63128;Dietzenbach;06074 21 68;;info@wkratz.de;http://www.wkratz.de
Michel Arno B.;Oberweiser Str. 6,;63179;Obertshausen;06104 4 12 60;;;
Westphal GmbH & Co. KG;Rathenaustr. 21,;63263;Neu-Isenburg;06102 29 80;;info@westphal-gruppe.de;http://www.westphal-gruppe.de
Modoslu Bau GmbH;Paul-Ehrlich-Str. 38,;63322;Rödermark-Ober-Roden;06074 6 98 37 95;;modoslu.bau@outlook.de;
Raiffeisen Waren - Baustoffe;Moselstraße 41,;63452;Hanau;06181 9 01 30;;;https://baustoffe.rw.net/Baustoffe/Hanau
Wolff & Müller Hoch- und Industriebau GmbH & Co. KG;Carl-Legien-Str. 16,;63073;Offenbach am Main-Bieber;069 83 00 98 80;;info@wolff-mueller.de;http://www.wolff-mueller.de
Fischer Stahlbau GmbH;Carl-Legien-Str. 16,;63073;Offenbach am Main-Bieber;069 83 00 55 80;;info@fischer-stahlbau.de;http://www.fischer-stahlbau.de
Partner am Bau GmbH;In der Aue 5,;63584;Gründau;06051 7 88 04 30;;info@partnerambau.com;http://www.partnerambau.com
CAYANBAU GmbH Bauunternehmen;Siemensstr. 5,;63128;Dietzenbach-Steinberg;06074 4 86 65 60;;info@cayanbau.com;http://www.cayanbau.com
Griesbach;Industriestr. 35,;63165;Mühlheim am Main;06108 7 33 85;;griesbach-bau@t-online.de;http://www.bauunternehmen-griesbach.de
buehr architekten bda;Bremer Str. 85,;63073;Offenbach am Main;069 89 90 70 25;;info@buehr-architekten.de;http://www.buehr-architekten.de
Schleucher Georg;Raiffeisenstr. 23,;63543;Neuberg-Ravolzhausen;06183 8 99 95 07;;SV@GeorgSchleucher.de;http://www.diamantsachverstaendiger.de
Konzept-Werkstatt;Bahnhofstr. 52A,;63165;Mühlheim am Main;06108 6 90 37;;f.andres@konzept-werkstatt.net;http://www.konzept-werkstatt.net
Köberle Klaus;Am Steinberg 32,;63128;Dietzenbach-Steinberg;06074 2 64 80;;;
MF Bauunternehmen GmbH;Geschwister-Scholl-Str. 73,;64354;Reinheim;06162 94 27 29;;mf-bauunternehmen@web.de;http://www.mf-bauunternehmen.de
Korn Sabine Architektin / Sachverständige für Immobilienbewertung;Niddastr. 12,;63477;Maintal-Dörnigheim;06181 6 68 85 78;;kontakt@korn-architektur.de;http://www.korn-architektur.de
KBS Karl Baumann & Sohn GmbH;Vor der Au 30,;63674;Altenstadt;06047 3 58;;info@kbs-baumann.de;http://www.kbs-baumann.de
Hix Sachverständigenbüro Kfz Service Center;Engelbert-Wörz-Str. 7,;64354;Reinheim;06162 96 95 90;;info@sv-hix.de;http://www.sv-hix.de
Sucro Bau GmbH;Haagstr. 21,;63486;Bruchköbel;0176 10 40 58 73;;;
Bauunternehmen Gebrüder Reeg GmbH Baugeschäft;Zeller Str. 26,;64753;Brombachtal-Langenbrombach;06063 23 18;;mail@bau-reeg.de;http://www.bau-reeg.de
Bauer Gernot und Georg GbR Baugeschäft;Montmeyraner Str. 19,;64401;Groß-Bieberau;06162 36 76;;Kontakt@bauerbaut.de;https://bauerbaut.de/
VDINS BAU GmbH;Schopenhauerstr. 36,;63069;Offenbach am Main;069 83 00 44 80;;info@vdins-bau-gmbh.de;https://www.vdins-bau-gmbh.de
Jourdan Jochem Prof. Dipl.-Ing.;Am Hainer Berg 11,;63303;Dreieich;06103 8 41 51;;;
InBau GmbH;Bruno-Dressler-Str. 19,;63477;Maintal;06109 5 06 04 09;;info@inbau-ffm.de;http://www.inbau-frankfurt.de
Horbeld Helmut;Hauptstr. 38,;63639;Flörsbachtal-Lohrhaupten;06057 91 99 72;;horbeld-baugeschaeft@t-online.de;http://www.horbeld.de
LDA Bau GmbH;Mühlheimer Str. 211-213,;63075;Offenbach am Main;069 85 80 05 35;;info@lda-bau.de;http://www.lda-bau.de
Pätzold Hans u. Kremer Michael;Christian-Pleß-Str. 11,;63069;Offenbach am Main;069 83 00 46 70;;office@paetzold-kremer.de;http://www.paetzold-kremer.de
Korrektbau GmbH;Friedhofstr. 2,;63065;Offenbach am Main;069 95 63 67 59;;;
TBM Baudeko GmbH & Co. KG;Sprendlinger Landstr. 115,;63069;Offenbach am Main;069 84 84 39 70;;;
Sara-Vertriebs- und Bau GmbH;Strahlenbergerstr. 123,;63067;Offenbach am Main-Kaiserlei;069 85 09 54 97;;Sara-vertriebsgmbh@web.de;
Weber Georg GmbH & Co. KG;Bahnhofstr. 50,;64720;Michelstadt;06061 7 00 30;;info@georg-weber-bau.de;http://www.georg-weber-bau.de
Spahn Bau GmbH BauMasch.Verleih;Röhrstr. 18,;64372;Ober-Ramstadt;06154 13 75;;info@spahn-online.com;http://www.spahn-online.com
Lubo-Bau Tiefbau;Emil-Nolde-Str. 16,;61130;Nidderau-Windecken;06187 90 85 26;;info@lubo-bau.de;http://www.lubo-bau.de
North Erik Dipl.-Ing.;Oberer Schachenmühlenweg 13,;64372;Ober-Ramstadt;06154 6 38 67 21;;eriknorth@online.de;https://architekturbüroeriknorth.de/
GLS Bau GmbH;Gräfendeichstr. 24,;60599;Frankfurt am Main;0178 4 06 95 74;;;
Deutschmann Bauservice GmbH;Bessemerstr. 17,;60388;Frankfurt am Main-Bergen-Enkheim;06109 6 97 92 97;;info@deutschmann-bauservice.de;http://www.deutschmann-bauservice.de
Özbegli Haluk;Karl-Marx-Str. 21,;60386;Frankfurt am Main-Riederwald;069 42 69 06 68;;;
Aspen Bau GmbH;Lilistr. 14-18 A,;63067;Offenbach am Main;0173 4 95 34 45;;;
Raiffeisen Baucenter GmbH;Hafenstr. 19,;97877;Wertheim-Bestenheid;09342 96 06-0;;baustoffe.wertheim@raiffeisen-baucenter.de;http://www.raiffeisen-baucenter.de/
Shaw Ian Architekt (BDA);Helmholtzstr. 35,;60385;Frankfurt am Main-Ostend;069 94 41 02 44;;info@shaw-architekten.de;http://www.shaw-architekten.de
Weinrich Bauunternehmen GmbH;Am Weißen Turm 24,;60388;Frankfurt am Main-Bergen-Enkheim;06109 2 24 12;;;
Nida Bau GmbH;Länderweg 19,;60599;Frankfurt am Main;069 60 60 58 82;;;
Malsy Michael Bauunternehmen;Habermannskreuz 1,;64711;Erbach-Habermannskreuz;06061 30 72;;;
Meub Hoch- und Tiefbau GmbH;In der Langgewann 48,;63654;Büdingen;0171 7 24 86 58;;michael.meub@t-online.de;
CMA Cyrus Moser Architekten Partnerschaftsgesellschaft mbH;Hanauer Landstr. 181-185,;60314;Frankfurt am Main-Ostend;069 9 04 31 90;;office@cma-arch.de;http://www.cma-arch.de
ZF Großbaustahl GmbH;Voltenseestr. 2,;60388;Frankfurt am Main;06109 5 09 45 10;;zf-bau@web.de;
Luft Hans;Mozartweg 32,;64287;Darmstadt;06151 7 61 70;;;
Ghaemi Hassan A. Dr. Dipl.-Ing.;Löwengasse 27e,;60385;Frankfurt am Main-Bornheim;069 5 60 46 40;;office@ghaemi-architekten.de;http://www.ghaemi-architekten.de
Söder Architekten BDA Wolfgang Dipl. Ing.;Hanauer Landstr. 52,;60314;Frankfurt am Main-Ostend;069 6 10 91 80;;info@soeder-ffm.de;http://www.soeder-architekten.de
GÜN Baugesellschaft mbH;Am Dornbusch 6,;64390;Erzhausen;06150 98 03 04;;info@guen-bau.de;http://www.guen-bau.de
Keiser Angela;Heidestr. 143,;60385;Frankfurt am Main-Bornheim;069 48 00 61 88;;office@angela-keiser.de;http://www.angela-keiser.de
A-Konzept 21 Architekturbüro;Am Willgraben 1,;64367;Mühltal;06151 27 27 54;;info@a-konzept-stolte.com;https://www.akonzept21-stolte.com
Gerhardt Kai Maurermeister;Weingartenstr. 7,;61130;Nidderau-Eichen;06187 2 88 33;;;
Lotz A. Hoch- und Tiefbau GmbH Bauunternehmen;Philipp-Reis-Str. 6,;61130;Nidderau-Heldenbergen;06187 9 22 60;;info@lotz-bauen.de;http://www.lotz-bauen.de
Jercke Eberhard Dipl.-Ing.;Grethenweg 64,;60598;Frankfurt am Main-Sachsenhausen;069 62 22 07;;eberhardjercke@web.de;
Jahn Knut Dipl.Ing Architekt;Im Seegraben 6,;64367;Mühltal;06151 9 11 20;;info@architekt-jahn.de;http://www.architekt-jahn.de
MK Bau und Montage GmbH;Mittlerer Hasenpfad 38,;60598;Frankfurt am Main-Sachsenhausen;069 42 69 69 94;;info@mk-baumontage.de;http://www.mk-baumontage.de
AplusF Fassadenplanung GmbH;Schweizer Str. 44a,;60594;Frankfurt am Main-Sachsenhausen;069 61 99 54 55;;office@aplusf.com;https://www.aplusf.de
Ludwig Fritz Architekten BDA;Schwanthalerstr. 59A,;60596;Frankfurt am Main;069 9 43 45 40;;buero@fritzludwig-architekten.de;http://www.fritzludwig-architekten.de
Nieper und Partner;Wittmannstr. 18,;64285;Darmstadt;06151 96 55 55;;www.darmstadt@e-g-n-architekten.de;http://www.e-g-n-architekten.de
Turkali;Kettenhofweg 14,;60325;Frankfurt am Main-Westend-Süd;069 9 70 97 51 90;;office@turkali-architekten.de;http://www.turkali-architekten.de
Pfaff Wolfgang Dipl.-Ing.;Wixhäuser Str. 23a,;64390;Erzhausen;06150 64 15;;;
ammon + sturm;Gartenstr. 141,;60596;Frankfurt am Main-Sachsenhausen;069 63 30 71 76;;post@ammonsturm.de;http://www.ammonsturm.de
Loewer + Partner Planungsgesellschaft mbH;Liebigstr. 75,;64293;Darmstadt;06151 9 93 90;;darmstadt@loewer-partner.de;http://www.loewer-partner.de
Morgenstern Hubert;Vogelsbergstr. 38,;60316;Frankfurt am Main-Nordend-Ost;069 4 36 54 49;;;
Kneißl Karl-Heinz Bauunternehmen;Forststr. 19,;64658;Fürth-Lörzenbach;06253 8 47 36;;kh@kneissl-bauunternehmung.de;http://www.kneissl-bauunternehmung.de
Dietz-Joppien Architekten AG;Schaumainkai 69,;60596;Frankfurt am Main;069 96 24 49 60;;frankfurt@dietz-joppien.de;http://www.dietz-joppien.de
L&R Betriebs GmbH;Ritterstr. 29a,;61118;Bad Vilbel;06101 5 58 56 56;;info@lundr-bauunternehmen.de;http://www.lundr-bauunternehmen.de
Köhlbrandt Marina Dipl.-Ing. (FH);Neuhofstr. 39,;60318;Frankfurt am Main-Nordend-West;069 95 50 95 41;;info@koehlbrandt-arc.de;
Curic Bauausführungen GmbH;Erich-Kästner-Str. 65,;61184;Karben;06039 4 27 07;;;
ASR-Architekten-Ressler;Bockenheimer Landstr. 83,;60325;Frankfurt am Main-Westend-Süd;069 74 25 26;;silvia_leone@hotmail.com;
HB + P Ingenieure GmbH BauIng.PrüfIng. für Baustatik;Birkenweg 24,;64295;Darmstadt-West;06151 3 66 50;;info@hbp-ing.de;http://www.hbp-ing.de
apd architektur;Niddastr. 84,;60329;Frankfurt am Main-Gallus;069 24 24 91 48;;info@apd-architekten.de;http://www.apd-architekten.de
Gärtner Jörn;Holzhofallee 36b,;64295;Darmstadt;06151 29 16 29;;joern_gaertner@t-online.de;
Bögl Max;Lyoner Str. 14,;60528;Frankfurt am Main;069 6 53 08 90;;info@max-boegl.de;http://www.max-boegl.de
Rhein Main Service GmbH;Friedrich-Ebert-Anlage 49,;60308;Frankfurt am Main-Westend-Süd;069 95 11 19 99;;info@rheinmainservice.de;http://www.rheinmainservice.de
Donges SteelTec GmbH;Mainzer Str. 55,;64293;Darmstadt-Nord;06151 88 90;;info@donges-steeltec.de;http://www.donges-steeltec.de
Ingenieurbüro Dipl.-Ing. H. Olf GmbH KFZ-Sachverst.;Eschollbrücker Str. 22a,;64295;Darmstadt;06151 3 99 10;;info@olfsv.de;http://www.olfsv.de
SCHWARZ + FREITAG Bauausführungen Rhein-Main;Bettinaplatz 6,;60325;Frankfurt am Main-Westend-Süd;0171 1 07 06 60;;schwarzundfreitag@t-online.de;http://www.schwarzundfreitag.de
Gerüstbau Fr. Schimmer GmbH Gerüstbau;Im Rödling 10,;64331;Weiterstadt;06151 8 25 20;;info@schimmer-gmbh.de;http://www.schimmer-gmbh.de
Kinkel + Partner Gesellschaft Beratender Ingenieure mbH;Europaplatz 4,;64293;Darmstadt-Nord;06151 13 05 60;;info@kinkel-partner.de;http://www.kinkel-partner.de
Ringbauer Helmut Beratender Ingenieur;Paquetstr. 26b,;60431;Frankfurt am Main-Ginnheim;069 87 20 61 00;;info@ib-ringbauer.de;http://www.ib-ringbauer.de
Ehrhardt H.;Hauptstr. 76a,;64678;Lindenfels;06255 28 64;;info@ehrhardt-hoch-tief.de;http://www.ehrhardt-hoch-tief.de
Dubnica Bau GmbH;Flörsheimer Str. 23,;60326;Frankfurt am Main;06102 78 63 00;;;
Scholles;Wingertstr. 32,;64331;Weiterstadt-Gräfenhausen;06150 54 56 50;;;
Gladis;Kirchhainer Str. 60,;60433;Frankfurt am Main-Eschersheim;069 9 71 47 50;;office@gladis-architekten.de;http://www.Gladis-Architekten.de
HOCHTIEF Solutions AG;Zur Waldau 21,;60529;Frankfurt am Main-Schwanheim;069 96 23 72 89;;info-solutions@hochtief.de;http://www.hochtief-solutions.de
Münz Jürgen Dipl.-Ing.;Tannenkopfweg 31,;60529;Frankfurt am Main-Schwanheim;069 66 12 41 30;;ppm@ppm-frankfurt.de;https://sachverstaendiger.ppm-frankfurt.de
Krebs und Kiefer Beratende Ingenieure für das Bauwesen GmbH Ingenieurbüros;Heinrich-Hertz-Str. 2,;64295;Darmstadt-West;06151 88 50;;darmstadt@kuk.de;http://www.kuk.de
Heinz Schnorpfeil Bau GmbH;Waldecker Str. 11-13,;64546;Mörfelden-Walldorf;06105 2 76 60;;laura.schmeichel@schnorpfeil.com;http://www.schnorpfeil.com
Sale Hoch- und Tiefbau GmbH;Otto-Hesse-Str. 19,;64293;Darmstadt;06151 9 37 30 90;;;
ASDO Bau GmbH;Flughafenstr. 1c,;64347;Griesheim;06155 8 69 60 03;;;
BVG GmbH;Am Burghof 39a,;60437;Frankfurt am Main-Bonames;069 97 76 05 74;;info@bvg-frankfurt.de;http://www.bvg-frankfurt.de
Heimatfriede e.G. Wohnbau-Genossenschaft;Thudichumstr. 40A,;60489;Frankfurt am Main-Rödelheim;069 78 29 82;;info@heimatfriede.de;http://www.heimatfriede.de
A. H. Construction Management GmbH;Niedwiesenstr. 56A,;60431;Frankfurt am Main;069 71 03 38 93;;;
Baier;Am Alten Berg 24a,;64342;Seeheim-Jugenheim;06151 5 43 34;;;
TÜV SÜD Industrie Service GmbH;Waldecker Str. 6,;64546;Mörfelden-Walldorf;06105 70 39 20;;info@tuev-sued.de;http://www.tuev-sued.de
Wohn-Projekt-Bau GmbH;Modaustr. 21,;64686;Lautertal (Odenwald)-Beedenkirchen;06254 95 08 00;;;
Grieser Heiko;Am Hofacker 7,;64678;Lindenfels;06255 96 87 03;;;
Karl Gehbauer GmbH & Co. KG;Schlierbacher Str. 32,;64658;Fürth;06253 57 51;;info@bauunternehmung-gehbauer.de;http://www.bauunternehmung-gehbauer.de
Barthel Olaf Dipl.-Ing.;Balkhäuser Str. 27a,;64686;Lautertal;06254 34 64;;;
EBS & Partner;Wilhelm-Baur-Str. 14,;64678;Lindenfels;06255 9 68 98 52;;ebs.partner-info@t-online.de;
Langlitz Bau GmbH;Am Kalkofen 8,;61206;Wöllstadt;06034 24 01;;info@langlitz-bau.de;http://www.langlitz-bau.de
Ganzert Hausbau GmbH;Breslauer Str. 2,;64342;Seeheim-Jugenheim;06257 88 55;;info@ganzert-hausbau.de;http://www.ganzert-hausbau.de
CS Abbruch & Schadstoffsanierung;Feldstraße 53,;61352;Bad Homburg vor der Höhe;0178 6 08 40 32;;Info@cs-abbruch-schadstoff-sanieren.de;https://www.cs-abbruch-schadstoffsanierung.de
JOP Ingenieurgesellschaft mbH;Lorscher Str. 13,;60489;Frankfurt am Main;069 75 61 46 77 70;;office@jop-architekten.com;http://www.jop-architekten.com
Schwarz Walter Bauunternehmung GmbH Bauunternehmen;Darmstädter Str. 58a,;64572;Büttelborn;06152 5 78 86;;info@walter-schwarz-gmbh.de;
Haesler Wolfgang Dipl.-Ing.;Linnéweg 7,;64342;Seeheim-Jugenheim;06257 8 35 49;;;
Hubertus Schäfer GmbH;Berner Str. 77,;60437;Frankfurt am Main-Nieder-Eschbach;069 9 50 21 06 50;;info@schaefer-bau-gmbh.de;http://www.schaefer-bau-gmbh.de
Müller Heinrich GmbH Hoch- und Tiefbau-Baustoffhandel;Riedackerweg 5,;36396;Steinau an der Straße-Ulmbach;06667 91 90 80;;info@mueller-hoch-tiefbau.de;http://www.mueller-hoch-tiefbau.de
AS Bau GmbH;Friedrich-Uhde-Str. 2,;65812;Bad Soden am Taunus;069 37 00 61 69;;info@as-baugesellschaft.de;http://www.as-baugesellschaft.de
Projekt Hausbau PHB GmbH;Otto-Hahn-Str. 20,;61381;Friedrichsdorf-Köppern;06175 6 84 99 92;;;
Schug Wolfgang Dipl.-Ing. Dipl.-Architekt;Gabelsberger Str. 6,;64521;Groß-Gerau;06152 80 53 87;;info@schug-architekt.de;http://www.schug-architekt.de
Bernhard Bank Baugeschäft e.K.;Adolf-Damaschke-Str. 10,;65824;Schwalbach am Taunus;06196 9 52 60 06;;info@bankbau.de;http://www.bankbau.de
BIRX;Schäferstr. 10,;63633;Birstein-Mauswinkel;06054 59 09;;info@bauunternehmen-birx.de;http://www.bauunternehmen-birx.de
